Segment,gamecategory,subgamecategory,shift,oblast,city,os,osv,created_year,created_month,created_day,created_hour,created_minute,created_second
5,7,12,3,2,145,0,112,2021,9,18,9,49,39
5,7,7,0,30,956,0,0,2021,8,4,13,19,26
3,7,38,3,45,1409,0,112,2021,8,4,18,56,44
3,7,0,0,4,85,0,13,2021,9,18,14,28,45
3,7,0,7,51,357,0,0,2021,9,18,11,15,5
3,7,0,2,60,571,0,0,2021,9,15,7,38,26
3,7,0,0,39,1246,0,0,2021,8,5,17,22,38
4,7,2,0,38,1783,0,0,2021,8,4,20,9,53
5,7,39,2,76,2247,0,0,2021,8,2,14,31,57
5,7,38,0,39,1246,1,54,2021,8,4,14,21,28
5,7,40,1,71,681,0,105,2021,9,16,8,57,19
4,7,45,0,39,1246,0,0,2021,8,3,18,2,40
5,7,42,0,43,1337,0,0,2021,9,18,8,27,55
3,7,39,0,39,1246,0,0,2021,9,19,13,25,58
5,7,12,0,39,1246,0,0,2021,8,3,14,24,33
5,0,46,0,39,1246,0,13,2021,9,17,4,36,7
3,7,2,0,30,956,0,112,2021,8,3,10,43,9
5,7,38,0,63,1924,1,64,2021,9,16,12,17,3
5,18,33,0,39,1246,1,54,2021,9,20,5,5,48
3,7,10,0,37,638,0,0,2021,9,20,6,12,14
5,7,42,2,75,1973,0,105,2021,9,19,11,2,40
3,7,42,0,30,956,0,0,2021,7,7,14,21,54
3,7,0,0,30,2082,1,84,2021,8,8,16,39,16
5,7,38,0,63,1924,0,105,2021,8,4,12,10,54
5,7,12,4,31,975,0,105,2021,9,19,17,46,12
3,10,33,0,56,1777,1,84,2021,8,4,16,41,26
5,7,0,2,50,1552,0,0,2021,8,3,14,34,56
5,7,0,0,39,1246,0,13,2021,9,15,7,15,13
5,7,38,0,39,1246,0,112,2021,8,7,9,20,8
2,0,41,3,2,145,0,13,2021,9,20,7,55,38
3,7,39,0,53,1742,0,102,2021,7,11,10,7,48
5,7,0,0,43,1337,0,0,2021,8,2,16,29,16
5,7,12,0,39,1246,1,83,2021,9,17,7,43,10
3,7,42,0,77,468,1,84,2021,8,5,22,41,51
5,7,0,2,60,571,0,0,2021,9,17,5,54,10
3,7,42,0,8,267,0,96,2021,7,8,10,24,10
5,7,42,0,39,1246,0,105,2021,8,3,14,44,18
3,7,52,0,53,1742,0,0,2021,9,16,10,50,0
5,7,42,0,39,1246,0,112,2021,8,4,11,42,25
5,7,12,0,39,1246,0,112,2021,8,3,6,48,38
5,7,10,2,50,1552,1,86,2021,9,19,19,2,47
5,7,1,0,65,732,1,84,2021,8,4,10,38,21
5,0,24,0,30,956,0,13,2021,9,15,12,52,9
4,7,44,0,56,1777,0,13,2021,9,18,19,59,15
4,7,52,0,13,383,0,96,2021,7,9,12,0,23
5,7,12,0,65,732,0,0,2021,8,3,13,2,20
5,7,52,0,57,1785,0,13,2021,9,20,11,26,45
5,7,30,2,76,307,0,98,2021,9,18,7,6,38
5,7,12,0,30,956,1,80,2021,9,20,22,2,1
4,7,42,2,76,2247,0,112,2021,7,8,14,26,40
3,7,7,0,39,1246,0,105,2021,8,7,21,34,12
1,7,44,0,39,1246,1,84,2021,7,7,11,21,40
2,7,39,0,56,1777,0,105,2021,9,19,8,39,15
5,7,0,1,71,681,1,54,2021,9,17,20,53,1
5,7,2,2,6,2167,0,98,2021,8,4,6,12,0
3,0,46,3,45,1409,0,0,2021,8,7,22,56,35
3,7,42,0,30,956,1,84,2021,7,9,18,9,16
5,7,0,0,63,1924,0,0,2021,9,15,18,45,5
5,7,2,0,34,2066,0,105,2021,9,18,20,9,46
5,7,12,0,39,1246,0,112,2021,8,3,8,7,53
3,7,39,0,11,364,0,98,2021,7,9,7,42,22
4,0,46,1,55,1772,0,105,2021,7,7,17,7,45
4,7,52,0,53,1742,1,80,2021,7,6,15,48,54
5,7,7,0,39,1246,0,98,2021,8,4,14,36,8
5,7,0,2,60,571,0,0,2021,8,3,12,53,34
4,7,2,2,70,2109,0,98,2021,8,2,9,23,55
4,7,40,2,50,1552,0,13,2021,7,11,14,44,5
3,7,39,0,53,1742,1,84,2021,7,11,16,35,43
4,0,15,5,19,2155,0,13,2021,8,2,19,10,18
4,0,15,0,26,897,0,0,2021,8,2,23,14,11
3,7,42,0,39,1246,1,62,2021,8,8,9,53,47
2,7,12,2,70,2109,0,13,2021,9,17,12,7,44
3,7,38,4,31,975,0,0,2021,8,2,19,34,22
4,7,12,4,31,107,0,98,2021,7,8,16,45,23
5,7,12,0,63,1924,0,0,2021,8,8,10,23,17
5,7,40,2,60,571,0,112,2021,9,15,12,37,4
3,7,38,0,39,1246,0,0,2021,9,19,22,28,29
3,7,7,0,30,956,0,0,2021,7,10,22,17,25
5,7,52,0,30,956,0,105,2021,9,17,6,59,11
4,7,0,0,10,359,0,96,2021,8,2,23,15,16
3,7,2,4,31,975,0,112,2021,9,17,18,4,25
5,0,37,5,19,706,0,13,2021,9,20,4,9,14
5,7,45,0,40,878,0,13,2021,8,3,5,13,31
5,7,39,0,40,953,0,13,2021,9,16,5,25,28
3,18,33,3,46,1482,1,72,2021,8,5,14,15,11
4,7,38,0,43,1337,0,112,2021,7,9,14,42,23
4,7,42,0,43,1337,0,102,2021,7,6,12,36,45
5,7,38,0,56,1777,0,100,2021,8,4,14,4,24
5,7,42,4,31,2296,0,105,2021,8,3,10,25,37
5,7,38,0,65,732,1,42,2021,9,16,20,24,50
5,7,38,0,43,1337,0,13,2021,9,20,14,44,19
4,7,0,0,65,608,1,34,2021,7,6,21,56,33
5,7,44,0,43,1337,0,13,2021,9,18,15,43,35
3,7,38,0,10,887,0,13,2021,9,17,14,38,9
5,7,38,0,39,1246,0,112,2021,8,5,5,42,32
2,7,0,0,33,1037,0,13,2021,9,17,11,40,42
5,7,38,7,58,2388,0,13,2021,9,18,13,11,48
4,7,0,0,39,1246,0,0,2021,8,5,13,9,41
5,7,39,0,30,956,0,98,2021,8,8,9,26,41
4,7,7,0,65,732,0,112,2021,7,11,11,1,49
4,7,42,0,69,1398,0,0,2021,7,6,0,21,30
5,7,38,0,39,1246,0,0,2021,8,5,7,53,6
3,7,42,0,39,1246,1,70,2021,8,5,23,9,50
3,0,8,0,39,1246,0,105,2021,8,4,23,1,28
3,0,46,0,39,1246,0,112,2021,8,8,15,53,28
5,7,12,7,51,357,0,0,2021,9,17,2,20,18
4,7,0,0,65,732,0,0,2021,8,6,21,43,7
